TerritoryID,TerritoryNumber,CategoryCode,Category,TerritoryAddressID,ApartmentNumber,Number,Street,Suburb,PostalCode,State,Name,Phone,Type,Status,NotHomeAttempt,Date1,Date2,Date3,Date4,Date5,Language,Latitude,Longitude,Notes,NotesFromPublisher,Process Notes
356095,1,,,2192952,,8715,10Th Ave,Inglewood,90305,CA,,,House,Available,0,,,,,,,,,,,
356095,1,,,7689697,,8716,10Th Ave,Inglewood,90305,CA,,,House,Available,0,,,,,,,,,,,
356095,1,,,4638294,,8717,10Th Ave,Inglewood,90305,CA,,,House,Available,0,,,,,,,,,,,
356095,1,,,8112929,,8720,10Th Ave,Inglewood,90305,CA,,,House,Available,0,,,,,,,,,,,
356095,1,,,9814304,,8721,10Th Ave,Inglewood,90305,CA,,,House,Available,0,,,,,,,,,,,
786471,59,,,9014701,,6916,10th ave,Los Angeles,,,,,House,NewFromPublisher,0,,,,,,,0,0,not on map,,
786471,59,,,6431637,,6916,10th Ave,Los Angeles,,,,,House,NewFromPublisher,0,,,,,,,33.9756433,-118.3280668,,,
584366,62,,,4882316,,7304,10th ave,Inglewood,,,,,House,NewFromPublisher,0,,,,,,,0,0,,,
584366,62,,,3955683,,7304,10th Ave,Los Angeles,,,,,House,NewFromPublisher,0,,,,,,,0,0,,,
356095,1,,,7954774,,8611,11Th Ave,Inglewood,90305,CA,,,House,Available,0,,,,,,,,,,,
